"ParentNode","ChildNode","SiteType","RKM","RKMTotal","nodeOrder"
"KRS","STR","MRR","*",0,4
"GRA","LTR","INT","522.100.003",625,2
"LTR","MTR","INT","522.100.019",641,3
"MTR","UTR","INT","522.100.053",675,4
"UTR","TUCH","MRR","522.100.058",680,5
"GRA","PENAWC","MRR","522.145",667,2
"GRA","ALMOTC","MRR","522.164",686,2
"GRA","GRA","INT","522.173",695,1
"GRA","ALPOWC","MRR","522.205",727,2
"GRA","LAPB0","INT","522.224.019.001",766,2
"LAPB0","LAPA0","INT","522.224.019.001",766,3
"LAPA0","SWTB0","INT","522.224.019.010.001",776,4
"SWTB0","SWTA0","INT","522.224.019.010.001",776,5
"SWTA0","WEBB0","INT","522.224.019.010.006.001",782,6
"WEBB0","WEBA0","INT","522.224.019.010.006.001",782,7
"LAPA0","MISB0","INT","522.224.019.016.001",782,4
"MISB0","MISA0","INT","522.224.019.016.001",782,5
"GRA","JUL","INT","522.224.024.014",784,2
"KHSA0","BIGBEC","MRR","522.224.024.023",793,5
"JUL","KHSB0","INT","522.224.024.023.000",793,3
"KHSB0","KHSA0","INT","522.224.024.023.000",793,4
"KHSA0","LBEARC","MRR","522.224.024.023.002",795,5
"JUL","PCMB0","INT","522.224.024.028.001",799,3
"PCMB0","PCMA0","INT","522.224.024.028.001",799,4
"HLMA0","POTREF","MRR","522.224.024.065",835,5
"JUL","HLMB0","INT","522.224.024.066",836,3
"HLMB0","HLMA0","INT","522.224.024.066",836,4
"HLMA0","POTRWF","MRR","522.224.024.083",853,5
"GRA","LC1","INT","522.224.087.021",854,2
"LC1","LC2","INT","522.224.087.025",858,3
"GRA","SC1","INT","522.224.120.001",867,2
"SC1","SC2","INT","522.224.120.002",868,3
"GRA","CLC","INT","522.224.120.004.001",871,2
"CLC","KOOS","MRR","522.224.120.004.001",871,3
"GRA","LRL","INT","522.224.120.037.001",904,2
"GRA","SW1","INT","522.224.120.037.005",908,2
"LRL","FISTRP","MRR","522.224.120.037.039.002",944,3
"ACMA0","ASOTIC","MRR","522.234",756,4
"GRA","ACMB0","INT","522.234.001",757,2
"ACMB0","ACMA0","INT","522.234.001",757,3
"ACMA0","GEORGC","MRR","522.234.005",761,4
"ASOTIC","ACB","INT","522.234.005",761,5
"ACB","CCAB0","MRR","522.234.022",778,6
"CCAB0","CCAA0","INT","522.234.022.001",779,7
"ACB","AFCB0","INT","522.234.025",781,6
"AFCB0","AFCA0","INT","522.234.025",781,7
"GRA","TENMC2","MRR","522.237",759,2
"JOCA0","JOSEPC","MRR","522.271.007",800,4
"GRA","JOCB0","INT","522.271.007.003",803,2
"JOCB0","JOCA0","INT","522.271.007.003",803,3
"GRA","WR1","INT","522.271.131.014",938,2
"WR1","BCANF","MRR","522.271.131.018.001",943,3
"WR1","LOSTIW","MRR","522.271.131.042.001",967,3
"WR1","WALH","MRR","522.271.131.063.001",988,3
"GRA","LOOKGC","MRR","522.271.137",930,2
"GRA","UGR","INT","522.271.155",948,2
"UGR","CCWB0","INT","522.271.232.032",1057,3
"CCWB0","CCWA0","INT","522.271.232.032",1057,4
"CCWA0","CATHEW","MRR","522.271.232.032",1057,5
"UGR","GRANDW","MRR","522.271.307",1100,3
"GRA","RAPH","MRR","522.303.140.007.006",978,2
"GRA","SFG","INT","522.303.215.030",1070,2
"SFG","ZENB0","INT","522.303.215.059.003",1102,3
"ZENB0","ZENA0","INT","522.303.215.059.003",1102,4
"ZENA0","LAKEC","MRR","522.303.215.059.045",1144,5
"SFG","ESSB0","INT","522.303.215.060.021",1121,3
"ESSB0","ESSA0","INT","522.303.215.060.021",1121,4
"ESSA0","JOHNSC","MRR","522.303.215.060.024",1124,5
"SFG","KRS","INT","522.303.215.065",1105,3
"TAYB0","TAYA0","MRR","522.303.319.029",1173,3
"GRA","TAYB0","INT","522.303.319.029.011",1184,2
"GRA","NFSB0","INT","522.303.381.001",1207,2
"NFSB0","NFSA0","INT","522.303.381.001",1207,3
"CRCB0","CRCA0","MRR","522.303.408",1233,3
"GRA","CRCB0","INT","522.303.408.001",1234,2
"GRA","LLRB0","INT","522.303.416.001",1242,2
"LLRB0","LLRA0","INT","522.303.416.001",1242,3
"LLRA0","BHCB0","INT","522.303.416.017.001",1259,4
"BHCB0","BHCA0","INT","522.303.416.017.001",1259,5
"WPCB0","WPCA0","MRR","522.303.416.020",1261,5
"LLRA0","WPCB0","INT","522.303.416.020.001",1262,4
"LLRA0","KENB0","INT","522.303.416.029.000",1270,4
"KENB0","KENA0","INT","522.303.416.029.000",1270,5
"LLRA0","AGCB0","INT","522.303.416.039.001",1281,4
"AGCB0","AGCA0","INT","522.303.416.039.001",1281,5
"LLRA0","HYCB0","INT","522.303.416.049.001",1291,4
"HYCB0","HYCA0","INT","522.303.416.049.001",1291,5
"LLRA0","LRWB0","INT","522.303.416.050",1291,4
"LRWB0","LRWA0","INT","522.303.416.050",1291,5
"LRWA0","LLSB0","INT","522.303.416.066.000",1307,6
"LLSB0","LLSA0","INT","522.303.416.066.000",1307,7
"LRWA0","LB8B0","INT","522.303.416.073.001",1315,6
"LB8B0","LB8A0","INT","522.303.416.073.001",1315,7
"LRWA0","LBSB0","INT","522.303.416.077.001",1319,6
"LBSB0","LBSA0","INT","522.303.416.077.001",1319,7
"LRWA0","LCLB0","INT","522.303.416.079.001",1321,6
"LCLB0","LCLA0","INT","522.303.416.079.001",1321,7
"LRWA0","BTLB0","INT","522.303.416.089.001",1331,6
"BTLB0","BTLA0","INT","522.303.416.089.001",1331,7
"BTLA0","BTMB0","INT","522.303.416.089.005",1335,8
"BTMB0","BTMA0","INT","522.303.416.089.005",1335,9
"BTMA0","BTUB0","INT","522.303.416.089.011",1341,10
"BTUB0","BTUA0","INT","522.303.416.089.011",1341,11
"LRWA0","CACB0","INT","522.303.416.090.001",1332,6
"CACB0","CACA0","INT","522.303.416.090.001",1332,7
"LRWA0","HECB0","INT","522.303.416.092.004.001",1338,6
"HECB0","HECA0","INT","522.303.416.092.004.001",1338,7
"GRA","USE","INT","522.303.437",1262,2
"USE","USI","INT","522.303.460",1285,3
"USI","PAHH","MRR","522.303.489.011",1325,4
"USI","SALEFT","MRR","522.303.552.029",1406,4
"YFKB0","YFKA0","MRR","522.303.591",1416,5
"USI","YFKB0","INT","522.303.591.003",1419,4
"USI","VC2","INT","522.303.609.001",1435,4
"VC2","VC1","INT","522.303.609.002",1436,5
"USI","STL","INT","522.303.617.000",1442,4
"GRA","COCB0","INT","522.308.006.001",837,2
"COCB0","COCA0","INT","522.308.006.001",837,3
"GRA","IR1","INT","522.308.007",837,2
"IR1","IR2","INT","522.308.010",840,3
"IR2","HORS3C","MRR","522.308.018",848,4
"IR2","CMPB0","INT","522.308.032.002.002",866,4
"CMPB0","CMPA0","INT","522.308.032.002.002",866,5
"IR2","LSHEEF","MRR","522.308.032.005.008",875,4
"IR2","BSCB0","INT","522.308.032.006",868,4
"BSCB0","BSCA0","INT","522.308.032.006",868,5
"IR2","IR3B0","INT","522.308.041",871,4
"IR3B0","IR3A0","INT","522.308.041",871,5
"IR3A0","FREEZC","MRR","522.308.059",889,6
"IR3A0","CZYB0","INT","522.308.080.001",911,6
"CZYB0","CZYA0","INT","522.308.080.001",911,7
"IR3A0","MAHOGC","MRR","522.308.083",913,6
"IR3A0","IR4B0","INT","522.308.084",914,6
"IR4B0","IR4A0","INT","522.308.084",914,7
"IR4A0","IMLB0","INT","522.308.084",914,8
"IMLB0","IMLA0","INT","522.308.084",914,9
"IMLA0","IMNAHW","MRR","522.308.084",914,10
"IMNAHW","IR5B0","INT","522.308.084",914,11
"IR5B0","IR5A0","INT","522.308.084",914,12
"IR5A0","GUMBTC","MRR","522.308.086",916,13
"IR5A0","DRY2C","MRR","522.308.090",920,13
